Node,Depth,Value,Alpha,Beta
E5,3,17,67,Infinity
A1,2,67,67,Infinity
B2,1,67,63,67
B1,2,-Infinity,63,67
A1,3,31,63,67
B1,2,31,63,67
E1,3,41,63,67
B1,2,41,63,67
A2,3,31,63,67
B1,2,41,63,67
A3,3,39,63,67
B1,2,41,63,67
B3,3,59,63,67
B1,2,59,63,67
C3,3,42,63,67
B1,2,59,63,67
E3,3,14,63,67
B1,2,59,63,67
A4,3,31,63,67
B1,2,59,63,67
B4,3,23,63,67
B1,2,59,63,67
E4,3,13,63,67
B1,2,59,63,67
A5,3,36,63,67
B1,2,59,63,67
B5,3,41,63,67
B1,2,59,63,67
C5,3,34,63,67
B1,2,59,63,67
D5,3,32,63,67
B1,2,59,63,67
E5,3,21,63,67
B1,2,59,63,67
B2,1,59,63,67
root,0,63,63,Infinity
A3,1,Infinity,63,Infinity
A1,2,-Infinity,63,Infinity
B1,3,79,63,Infinity
A1,2,79,79,Infinity
E1,3,53,79,Infinity
A1,2,79,79,Infinity
A2,3,83,79,Infinity
A1,2,83,83,Infinity
B2,3,35,83,Infinity
A1,2,83,83,Infinity
B3,3,71,83,Infinity
A1,2,83,83,Infinity
C3,3,54,83,Infinity
A1,2,83,83,Infinity
E3,3,26,83,Infinity
A1,2,83,83,Infinity
A4,3,43,83,Infinity
A1,2,83,83,Infinity
B4,3,35,83,Infinity
A1,2,83,83,Infinity
E4,3,25,83,Infinity
A1,2,83,83,Infinity
A5,3,48,83,Infinity
A1,2,83,83,Infinity
B5,3,53,83,Infinity
A1,2,83,83,Infinity
C5,3,46,83,Infinity
A1,2,83,83,Infinity
D5,3,44,83,Infinity
A1,2,83,83,Infinity
E5,3,33,83,Infinity
A1,2,83,83,Infinity
A3,1,83,63,83
B1,2,-Infinity,63,83
A1,3,47,63,83
B1,2,47,63,83
E1,3,57,63,83
B1,2,57,63,83
A2,3,47,63,83
B1,2,57,63,83
B2,3,71,63,83
B1,2,71,71,83
B3,3,75,71,83
B1,2,75,75,83
C3,3,58,75,83
B1,2,75,75,83
E3,3,30,75,83
B1,2,75,75,83
A4,3,47,75,83
B1,2,75,75,83
B4,3,39,75,83
B1,2,75,75,83
E4,3,29,75,83
B1,2,75,75,83
A5,3,52,75,83
B1,2,75,75,83
B5,3,57,75,83
B1,2,75,75,83
C5,3,50,75,83
B1,2,75,75,83
D5,3,48,75,83
B1,2,75,75,83
E5,3,37,75,83
B1,2,75,75,83
A3,1,75,63,75
E1,2,-Infinity,63,75
A1,3,33,63,75
E1,2,33,63,75
B1,3,29,63,75
E1,2,33,63,75
A2,3,33,63,75
E1,2,33,63,75
B2,3,25,63,75
E1,2,33,63,75
B3,3,61,63,75
E1,2,61,63,75
C3,3,44,63,75
E1,2,61,63,75
E3,3,16,63,75
E1,2,61,63,75
A4,3,33,63,75
E1,2,61,63,75
B4,3,25,63,75
E1,2,61,63,75
E4,3,15,63,75
E1,2,61,63,75
A5,3,38,63,75
E1,2,61,63,75
B5,3,43,63,75
E1,2,61,63,75
C5,3,36,63,75
E1,2,61,63,75
D5,3,34,63,75
E1,2,61,63,75
E5,3,23,63,75
E1,2,61,63,75
A3,1,61,63,75
root,0,63,63,Infinity
B3,1,Infinity,63,Infinity
A1,2,-Infinity,63,Infinity
B1,3,99,63,Infinity
A1,2,99,99,Infinity
E1,3,73,99,Infinity
A1,2,99,99,Infinity
A2,3,63,99,Infinity
A1,2,99,99,Infinity
B2,3,55,99,Infinity
A1,2,99,99,Infinity
A3,3,71,99,Infinity
A1,2,99,99,Infinity
C3,3,74,99,Infinity
A1,2,99,99,Infinity
E3,3,46,99,Infinity
A1,2,99,99,Infinity
A4,3,63,99,Infinity
A1,2,99,99,Infinity
B4,3,75,99,Infinity
A1,2,99,99,Infinity
E4,3,45,99,Infinity
